Date,Close/Last,Volume,Open,High,Low
09/29/2023,$434.99,39782990,$438.27,$441.44,$433.0694
09/28/2023,$430.89,42466280,$424.60,$434.4631,$421.15
09/27/2023,$424.68,44493520,$423.30,$428.72,$416.2901
09/26/2023,$419.11,40228210,$420.01,$428.20,$416.55
09/25/2023,$422.22,41909100,$415.91,$425.36,$411.77
09/22/2023,$416.10,47923630,$415.72,$421.15,$412.31
09/21/2023,$410.17,45073600,$415.83,$421.00,$409.80
09/20/2023,$422.39,36710770,$436.00,$439.03,$422.23
09/19/2023,$435.20,37306420,$438.33,$439.66,$430.02
09/18/2023,$439.66,50027080,$427.48,$442.42,$420.00
09/15/2023,$439.00,50683050,$453.41,$455.99,$438.08
09/14/2023,$455.81,37009720,$459.50,$459.8699,$451.31
09/13/2023,$454.85,39835540,$446.00,$459.30,$445.03
09/12/2023,$448.70,34925630,$447.38,$456.73,$445.31
09/11/2023,$451.78,47396560,$461.48,$461.63,$443.12
09/08/2023,$455.72,47389990,$459.42,$466.06,$452.71
09/07/2023,$462.41,43332990,$455.25,$463.44,$451.52
09/06/2023,$470.61,46866960,$484.41,$485.49,$465.80
09/05/2023,$485.48,38265260,$482.23,$488.5081,$478.60
09/01/2023,$485.09,46383030,$497.62,$498.00,$481.416
08/31/2023,$493.55,52856980,$493.80,$497.44,$489.58
08/30/2023,$492.64,73520600,$490.44,$499.27,$484.25
08/29/2023,$487.84,70139700,$466.66,$490.81,$463.9101
08/28/2023,$468.35,68519220,$464.82,$469.80,$448.88
08/25/2023,$460.18,92534050,$470.12,$478.05,$450.24
08/24/2023,$471.63,115604400,$502.16,$502.66,$471.59
08/23/2023,$471.16,77904610,$458.66,$472.00,$452.08
08/22/2023,$456.68,75720690,$481.35,$481.87,$453.331
08/21/2023,$469.67,69257340,$444.94,$470.65,$442.22
08/18/2023,$432.99,58376790,$426.35,$435.7799,$416.60
08/17/2023,$433.435,45239480,$439.70,$440.62,$430.01
08/16/2023,$434.86,52745070,$445.20,$446.75,$434.06
08/15/2023,$439.40,67651150,$445.60,$452.68,$437.10
08/14/2023,$437.53,69028580,$404.86,$438.00,$403.11
08/11/2023,$408.55,53308530,$417.51,$420.18,$406.39
08/10/2023,$423.88,49270530,$421.60,$435.74,$418.35
08/09/2023,$425.54,58644910,$442.74,$443.12,$421.34
08/08/2023,$446.64,35384340,$448.53,$452.42,$440.5601
08/07/2023,$454.165,32215350,$451.11,$455.40,$445.6345
08/04/2023,$446.80,36266620,$449.85,$456.42,$443.93
08/03/2023,$445.15,32507660,$438.00,$451.18,$438.00
08/02/2023,$442.69,53014160,$458.31,$458.40,$433.87
08/01/2023,$465.07,23927600,$464.595,$469.00,$460.27
07/31/2023,$467.29,25105530,$467.54,$471.30,$465.0601
07/28/2023,$467.50,33119420,$466.68,$470.27,$463.81
07/27/2023,$459.00,45597550,$465.19,$473.95,$457.50
07/26/2023,$454.52,36423730,$460.21,$460.53,$446.30
07/25/2023,$456.79,34808090,$449.41,$461.825,$449.23
07/24/2023,$446.12,38309970,$447.31,$451.09,$440.40
07/21/2023,$443.09,96376860,$457.88,$458.66,$441.00
07/20/2023,$455.20,53786450,$465.07,$470.87,$450.62
07/19/2023,$470.77,42750180,$474.64,$478.18,$467.42
07/18/2023,$474.94,57019040,$467.01,$478.9599,$457.34
07/17/2023,$464.61,51048820,$462.89,$464.96,$452.6241
07/14/2023,$454.69,77207530,$465.828,$480.88,$450.60
07/13/2023,$459.77,47820370,$445.18,$461.55,$444.92
07/12/2023,$439.02,48127700,$430.33,$439.35,$427.7728
07/11/2023,$424.05,29824410,$424.81,$427.58,$420.67
07/10/2023,$421.80,35390810,$426.57,$428.11,$416.49
07/07/2023,$425.03,35588150,$423.22,$432.14,$421.80
07/06/2023,$421.03,30413880,$418.44,$421.79,$413.46
07/05/2023,$423.17,32361760,$421.35,$431.77,$420.85
07/03/2023,$424.13,19775410,$425.17,$428.98,$422.02
06/30/2023,$423.02,50114780,$416.80,$425.50,$415.01
06/29/2023,$408.22,38051430,$415.58,$416.00,$406.00
06/28/2023,$411.17,58263930,$406.60,$418.45,$405.18
06/27/2023,$418.76,46217470,$407.99,$419.40,$404.48
06/26/2023,$406.32,59432190,$424.61,$427.64,$401.00
06/23/2023,$422.09,35813980,$424.64,$428.09,$420.15
06/22/2023,$430.25,41773740,$422.53,$434.255,$422.34
06/21/2023,$430.45,55160290,$435.01,$436.15,$420.80
06/20/2023,$438.08,45115310,$429.98,$439.90,$426.74
06/16/2023,$426.92,65570940,$434.50,$437.21,$426.605
06/15/2023,$426.53,56862200,$426.02,$432.89,$421.47
06/14/2023,$429.97,74046500,$408.24,$430.00,$405.52
06/13/2023,$410.22,61320820,$401.86,$411.01,$397.40
06/12/2023,$394.82,38967340,$392.00,$395.2999,$386.18
06/09/2023,$387.70,42771750,$390.37,$397.11,$385.67
